ID,BETA_1,BETA_2,BETA_3,BETA_4,BETA_5,BETA_6,BETA_7,BETA_8,BETA_9,BETA_10,Altruism_1,Altruism_2,Altruism_3,Altruism_4,Altruism_5,Altruism_6,Altruism_7,Altruism_8,Altruism_9,Altruism_10,Altruism_11,Altruism_12,Altruism_13,Altruism_14,Altruism_15,Altruism_16,Altruism_17,Altruism_18,Altruism_19,Altruism_20,give_real,give_hypo
1,7,6,7,7,6,6,7,7,7,7,4,4,4,5,5,5,4,3,4,4,5,1,4,3,4,4,4,4,5,5,6,17
2,3,6,5,4,1,2,6,2,5,4,5,2,3,3,1,3,5,2,3,3,1,5,3,4,2,4,1,3,2,4,0,0
3,5,6,2,3,5,6,6,3,3,3,3,3,4,2,3,1,1,3,3,3,3,1,3,3,1,1,1,3,3,3,0,0
4,5,7,2,2,7,7,7,2,2,2,1,4,3,4,3,5,4,3,3,4,3,1,3,2,1,3,3,1,4,4,10,10
5,7,7,2,2,7,7,7,2,1,1,1,3,1,3,2,2,2,3,1,3,1,1,1,1,1,4,3,1,1,1,10,5
6,7,7,1,4,4,4,4,6,4,6,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,20,20
7,7,7,1,1,7,7,7,1,1,1,2,3,3,3,3,3,3,2,2,3,3,1,1,2,1,2,2,1,1,1,10,0
8,7,7,1,3,7,7,7,2,3,4,2,5,3,3,3,4,3,1,2,5,4,1,2,3,4,3,2,3,5,5,10,10
9,6,6,2,2,6,6,6,2,2,3,4,4,4,5,4,5,5,1,4,5,5,5,5,3,5,4,3,4,4,4,5,15
10,5,3,4,4,2,6,5,4,3,5,2,2,4,3,4,2,4,4,5,2,3,2,2,4,2,4,4,3,4,5,0,0
11,6,7,2,2,6,6,6,2,2,4,2,3,2,4,4,4,3,1,3,3,3,1,2,2,3,3,3,3,1,3,10,5
12,5,5,3,5,5,5,5,5,5,5,1,3,3,3,3,4,2,4,3,4,3,1,1,1,3,3,3,1,4,3,20,20
13,4,4,5,5,4,4,3,4,5,4,1,3,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,0,0
14,4,5,6,1,3,3,3,6,6,6,2,4,4,5,5,5,3,1,3,5,5,3,3,4,4,4,4,1,4,1,10,10
15,5,5,5,5,6,6,6,4,5,6,1,3,3,3,3,3,3,2,2,3,1,3,3,2,2,3,3,2,1,2,0,0
16,3,5,3,4,5,3,4,4,6,4,2,4,4,3,4,3,2,4,3,2,3,3,4,3,2,3,4,3,2,3,5,10
17,6,5,6,1,5,5,5,4,5,5,3,3,3,4,3,4,4,5,4,3,3,3,2,2,3,2,3,2,2,3,5,20
18,1,1,7,7,4,3,2,6,6,6,1,3,3,2,3,4,2,1,1,4,4,1,2,3,1,3,3,2,2,1,11,12
19,6,5,3,3,6,5,6,5,2,3,1,3,3,3,4,3,2,4,3,3,2,2,3,3,2,2,3,3,2,3,0,0
